order_id,warehouse_id,order_date,order_priority,planned_ship_date,is_delayed,delay_days,actual_ship_date,shipping_cost
100073,1,2024-07-13,Medium,2024-07-15,0,0,2024-07-15,41.34
100074,11,2024-07-19,Low,2024-07-21,1,2,2024-07-23,71.39
100075,8,2024-01-07,Medium,2024-01-09,0,0,2024-01-09,13.39
100076,10,2024-12-17,Medium,2024-12-19,0,0,2024-12-19,49.51
100077,3,2024-08-29,High,2024-09-01,0,0,2024-09-01,69.85
100078,6,2024-09-14,High,2024-09-16,1,5,2024-09-21,67.78
100079,2,2024-04-17,Low,2024-04-21,0,0,2024-04-21,28.39
100080,5,2024-06-13,Critical,2024-06-17,0,0,2024-06-17,12.95
100081,9,2024-08-23,Critical,2024-08-27,0,0,2024-08-27,39.84
100082,7,2024-07-23,Medium,2024-07-27,0,0,2024-07-27,14.54
100083,4,2024-12-14,Medium,2024-12-17,1,5,2024-12-22,95.67
100084,3,2024-07-23,Low,2024-07-26,0,0,2024-07-26,46.46
100085,9,2024-05-27,Low,2024-05-28,0,0,2024-05-28,16.96
100086,4,2024-10-31,Low,2024-11-01,0,0,2024-11-01,30.1
100087,5,2024-09-05,Medium,2024-09-09,0,0,2024-09-09,32.86
100088,6,2024-11-01,High,2024-11-04,0,0,2024-11-04,55.76
100089,10,2024-02-10,Medium,2024-02-13,0,0,2024-02-13,17.62
100090,5,2024-04-28,Medium,2024-04-29,0,0,2024-04-29,10.55
100091,9,2024-03-13,High,2024-03-14,0,0,2024-03-14,28.35
100092,1,2024-01-04,Low,2024-01-07,1,6,2024-01-13,102.88
100093,11,2024-02-12,High,2024-02-16,0,0,2024-02-16,68.23
100094,6,2024-07-25,Medium,2024-07-28,0,0,2024-07-28,22.48
100095,4,2024-08-15,Medium,2024-08-18,0,0,2024-08-18,69.45
100096,4,2024-01-31,Low,2024-02-03,0,0,2024-02-03,25.61
100097,3,2024-01-12,Medium,2024-01-15,0,0,2024-01-15,39.93
100098,5,2024-03-25,High,2024-03-27,0,0,2024-03-27,52.06
100099,8,2024-06-20,Medium,2024-06-22,0,0,2024-06-22,55.5
100100,4,2024-11-26,Low,2024-11-29,0,0,2024-11-29,70.38
100101,7,2024-02-05,Medium,2024-02-08,0,0,2024-02-08,43.7
100102,8,2024-01-25,Medium,2024-01-26,0,0,2024-01-26,28.01
100103,5,2024-11-22,Medium,2024-11-26,0,0,2024-11-26,6.5
100104,10,2024-11-01,High,2024-11-03,1,8,2024-11-11,79.26
100105,1,2024-11-23,Low,2024-11-24,0,0,2024-11-24,28.25
100106,8,2024-02-05,Medium,2024-02-09,0,0,2024-02-09,63.87
100107,10,2024-04-11,High,2024-04-14,1,1,2024-04-15,48.84
100108,3,2024-05-10,Medium,2024-05-12,0,0,2024-05-12,45.15
100109,4,2024-03-18,Low,2024-03-19,0,0,2024-03-19,60.9
100110,10,2024-01-27,Low,2024-01-31,0,0,2024-01-31,72.41
100111,7,2024-12-11,Medium,2024-12-12,0,0,2024-12-12,9.59
100112,9,2024-01-07,Medium,2024-01-08,0,0,2024-01-08,44.52
100113,4,2024-02-13,Medium,2024-02-17,1,2,2024-02-19,37.28
100114,4,2024-03-12,Medium,2024-03-13,0,0,2024-03-13,53.61
100115,6,2024-04-13,Medium,2024-04-16,0,0,2024-04-16,55.68
100116,9,2024-11-10,High,2024-11-12,0,0,2024-11-12,12.66
100117,4,2024-06-28,Medium,2024-07-01,0,0,2024-07-01,27.55
100118,10,2024-05-11,Critical,2024-05-14,1,7,2024-05-21,48.9
100119,8,2024-08-30,Medium,2024-08-31,1,6,2024-09-06,59.6
100120,3,2024-05-09,Low,2024-05-12,0,0,2024-05-12,12.17
100121,2,2024-08-31,High,2024-09-04,1,8,2024-09-12,101.37
100122,4,2024-09-01,Medium,2024-09-02,0,0,2024-09-02,62.55
100123,4,2024-07-31,Medium,2024-08-03,0,0,2024-08-03,34.47
100124,7,2024-08-15,High,2024-08-16,0,0,2024-08-16,23.65
100125,7,2024-07-30,High,2024-08-02,0,0,2024-08-02,9.63
100126,9,2024-06-06,Low,2024-06-10,1,1,2024-06-11,35.85
100127,10,2024-12-28,High,2024-12-30,0,0,2024-12-30,34.16
100128,2,2024-05-09,Medium,2024-05-11,1,5,2024-05-16,106.66
100129,4,2024-11-30,Medium,2024-12-02,1,3,2024-12-05,64.19
100130,3,2024-04-13,Low,2024-04-17,1,4,2024-04-21,65.72
100131,12,2024-11-17,Low,2024-11-20,0,0,2024-11-20,79.61
100132,3,2024-08-04,Medium,2024-08-07,0,0,2024-08-07,74.97
100133,7,2024-04-02,Medium,2024-04-05,0,0,2024-04-05,58.76
100134,12,2024-11-16,Low,2024-11-18,0,0,2024-11-18,36.71
100135,10,2024-10-07,Low,2024-10-11,1,5,2024-10-16,51.77
100136,6,2024-08-21,Medium,2024-08-25,0,0,2024-08-25,17.94
100137,3,2024-10-07,Low,2024-10-08,0,0,2024-10-08,42.75
100138,8,2024-02-17,Medium,2024-02-21,1,3,2024-02-24,42.66
100139,8,2024-01-11,Low,2024-01-15,0,0,2024-01-15,41.42
100140,7,2024-08-24,Medium,2024-08-28,0,0,2024-08-28,62.23
100141,9,2024-01-19,Medium,2024-01-22,1,4,2024-01-26,43.99
100142,3,2024-08-20,Low,2024-08-23,1,4,2024-08-27,51.49
100143,5,2024-09-30,Low,2024-10-04,1,9,2024-10-13,129.87
100144,6,2024-08-29,Medium,2024-08-30,0,0,2024-08-30,51.59
100145,9,2024-01-07,Medium,2024-01-09,0,0,2024-01-09,78.27
100146,4,2024-12-08,Low,2024-12-11,0,0,2024-12-11,23.36
100147,5,2024-01-04,Medium,2024-01-07,1,7,2024-01-14,71.51
100148,9,2024-05-28,Critical,2024-05-29,0,0,2024-05-29,35.81
100149,12,2024-05-07,Medium,2024-05-11,0,0,2024-05-11,67.92
100150,11,2024-02-10,Medium,2024-02-13,0,0,2024-02-13,29.82
100151,4,2024-03-17,Low,2024-03-18,0,0,2024-03-18,52.85
100152,2,2024-08-06,High,2024-08-07,0,0,2024-08-07,7.38
100153,9,2024-05-25,Medium,2024-05-27,0,0,2024-05-27,72.25
100154,11,2024-10-09,Low,2024-10-13,0,0,2024-10-13,66.53
100155,12,2024-06-22,Medium,2024-06-24,0,0,2024-06-24,55.05
100156,3,2024-10-28,Medium,2024-11-01,0,0,2024-11-01,10.32
100157,11,2024-03-25,Low,2024-03-28,1,5,2024-04-02,76.58
100158,6,2024-02-14,Medium,2024-02-15,1,8,2024-02-23,97.24
100159,9,2024-02-12,Low,2024-02-13,0,0,2024-02-13,54.77
100160,3,2024-07-26,High,2024-07-28,0,0,2024-07-28,54.75
100161,8,2024-02-19,Medium,2024-02-21,0,0,2024-02-21,70.04
100162,9,2024-12-01,High,2024-12-03,0,0,2024-12-03,34.23
100163,3,2024-08-18,Medium,2024-08-22,1,8,2024-08-30,110.95
100164,3,2024-10-03,Low,2024-10-07,0,0,2024-10-07,12.56
100165,4,2024-05-07,Low,2024-05-10,0,0,2024-05-10,17.06
100166,1,2024-10-15,High,2024-10-17,0,0,2024-10-17,30.32
100167,2,2024-08-07,Low,2024-08-09,0,0,2024-08-09,61.53
100168,1,2024-01-30,High,2024-02-03,0,0,2024-02-03,32.67
100169,3,2024-07-15,Low,2024-07-17,1,7,2024-07-24,88.93
100170,6,2024-02-02,Low,2024-02-04,1,7,2024-02-11,96.71
100171,8,2024-03-15,Low,2024-03-19,0,0,2024-03-19,40.84
100172,5,2024-09-05,Medium,2024-09-07,0,0,2024-09-07,46.62
100173,8,2024-11-23,High,2024-11-25,0,0,2024-11-25,15.57
100174,6,2024-04-04,Medium,2024-04-06,0,0,2024-04-06,31.25
100175,1,2024-07-31,Medium,2024-08-02,0,0,2024-08-02,9.46
100176,3,2024-03-29,Medium,2024-04-01,1,5,2024-04-06,78.21
100177,2,2024-05-25,Medium,2024-05-28,0,0,2024-05-28,8.43
100178,6,2024-10-11,High,2024-10-14,0,0,2024-10-14,57.96
100179,8,2024-07-24,Critical,2024-07-28,0,0,2024-07-28,10.84
100180,6,2024-11-28,Medium,2024-12-01,0,0,2024-12-01,70.72
100181,4,2024-10-01,Medium,2024-10-05,1,3,2024-10-08,59.48
100182,4,2024-03-24,Critical,2024-03-25,0,0,2024-03-25,40.26
100183,9,2024-09-14,Low,2024-09-18,0,0,2024-09-18,64.87
100184,1,2024-09-24,Low,2024-09-28,0,0,2024-09-28,6.31
100185,2,2024-11-25,High,2024-11-28,1,6,2024-12-04,84.8
100186,4,2024-10-18,Medium,2024-10-19,1,5,2024-10-24,65.61
100187,3,2024-12-22,Low,2024-12-25,0,0,2024-12-25,40.71
100188,9,2024-09-30,Low,2024-10-03,0,0,2024-10-03,13.38
100189,5,2024-09-25,Medium,2024-09-26,0,0,2024-09-26,31.05
100190,8,2024-02-29,High,2024-03-01,0,0,2024-03-01,30.47
100191,4,2024-11-30,Medium,2024-12-04,0,0,2024-12-04,17.96
100192,11,2024-06-27,High,2024-06-30,0,0,2024-06-30,24.06
100193,4,2024-04-10,Medium,2024-04-14,0,0,2024-04-14,36.41
100194,10,2024-03-07,Low,2024-03-09,0,0,2024-03-09,11.23
100195,11,2024-10-05,Low,2024-10-09,0,0,2024-10-09,28.22
100196,3,2024-05-11,High,2024-05-14,0,0,2024-05-14,50.07
100197,9,2024-08-23,Medium,2024-08-25,0,0,2024-08-25,13.37
100198,10,2024-05-05,High,2024-05-07,0,0,2024-05-07,15.22
100199,2,2024-01-25,Medium,2024-01-26,1,7,2024-02-02,92.52
100200,11,2024-07-07,High,2024-07-11,0,0,2024-07-11,20.11
100201,12,2024-03-09,Low,2024-03-12,0,0,2024-03-12,13.05
100202,11,2024-02-16,Low,2024-02-20,0,0,2024-02-20,16.82
100203,3,2024-10-09,High,2024-10-13,0,0,2024-10-13,20.7
100204,3,2024-05-04,Medium,2024-05-08,0,0,2024-05-08,43.14
100205,11,2024-07-08,Medium,2024-07-09,0,0,2024-07-09,66.09
100206,11,2024-03-11,Medium,2024-03-15,1,8,2024-03-23,53.94
100207,3,2024-02-18,Medium,2024-02-21,0,0,2024-02-21,68.49
100208,4,2024-11-12,Low,2024-11-14,0,0,2024-11-14,32.88
100209,5,2024-12-09,Low,2024-12-13,0,0,2024-12-13,62.42
100210,6,2024-12-08,Medium,2024-12-10,1,7,2024-12-17,66.63
100211,5,2024-10-13,Medium,2024-10-15,0,0,2024-10-15,65.27
100212,9,2024-12-13,Medium,2024-12-14,0,0,2024-12-14,57.22
100213,7,2024-07-11,High,2024-07-14,0,0,2024-07-14,57.47
100214,7,2024-09-23,High,2024-09-25,1,7,2024-10-02,77.66
100215,7,2024-08-30,Medium,2024-09-01,0,0,2024-09-01,24.17
100216,12,2024-10-20,High,2024-10-22,0,0,2024-10-22,30.62
100217,11,2024-12-17,High,2024-12-19,0,0,2024-12-19,65.54
100218,7,2024-09-11,Low,2024-09-13,0,0,2024-09-13,61.85
100219,2,2024-09-11,Medium,2024-09-13,1,7,2024-09-20,90.62
100220,8,2024-04-02,High,2024-04-03,0,0,2024-04-03,53.56
100221,12,2024-12-16,Medium,2024-12-20,0,0,2024-12-20,47.42
100222,10,2024-02-28,Medium,2024-03-03,0,0,2024-03-03,38.98
100223,1,2024-05-26,Low,2024-05-27,0,0,2024-05-27,58.39
100224,6,2024-09-21,Low,2024-09-24,1,3,2024-09-27,26.46
100225,12,2024-04-05,Low,2024-04-06,1,6,2024-04-12,73.82
100226,11,2024-12-16,Low,2024-12-20,1,6,2024-12-26,99.74
100227,3,2024-07-15,Medium,2024-07-19,1,7,2024-07-26,58.05
100228,6,2024-10-05,Low,2024-10-09,1,6,2024-10-15,61.98
100229,6,2024-07-01,Low,2024-07-03,0,0,2024-07-03,15.35
100230,8,2024-03-25,Low,2024-03-27,0,0,2024-03-27,15.42
100231,4,2024-10-02,Low,2024-10-03,0,0,2024-10-03,6.29
100232,12,2024-05-20,High,2024-05-22,0,0,2024-05-22,14.81
100233,3,2024-12-30,Medium,2024-12-31,1,3,2025-01-03,62.96
100234,2,2024-02-26,Medium,2024-02-27,0,0,2024-02-27,50.64
100235,12,2024-06-23,Medium,2024-06-24,0,0,2024-06-24,54.79
100236,6,2024-07-23,Critical,2024-07-26,1,2,2024-07-28,69.58
100237,3,2024-06-10,Medium,2024-06-12,1,1,2024-06-13,40.4
100238,4,2024-04-25,Medium,2024-04-28,0,0,2024-04-28,37.15
100239,9,2024-06-29,Low,2024-06-30,0,0,2024-06-30,7.7
100240,7,2024-12-02,High,2024-12-03,0,0,2024-12-03,22.62
100241,1,2024-03-03,Medium,2024-03-06,1,8,2024-03-14,121.73
100242,4,2024-06-06,Low,2024-06-08,0,0,2024-06-08,77.95
100243,11,2024-07-14,Medium,2024-07-16,0,0,2024-07-16,11.52
100244,8,2024-09-03,Low,2024-09-05,0,0,2024-09-05,72.91
100245,10,2024-01-04,High,2024-01-08,1,6,2024-01-14,23.37
100246,4,2024-06-13,High,2024-06-15,0,0,2024-06-15,79.79
100247,1,2024-02-08,High,2024-02-10,0,0,2024-02-10,26.49
100248,10,2024-02-05,Medium,2024-02-07,0,0,2024-02-07,19.09
100249,2,2024-05-22,Low,2024-05-25,0,0,2024-05-25,41.69
100250,5,2024-11-26,Critical,2024-11-29,0,0,2024-11-29,20.34
100251,6,2024-06-12,Medium,2024-06-16,1,1,2024-06-17,72.96
100252,1,2024-12-17,Medium,2024-12-20,0,0,2024-12-20,47.01
100253,5,2024-10-01,Medium,2024-10-03,0,0,2024-10-03,79.7
100254,8,2024-01-16,Medium,2024-01-17,0,0,2024-01-17,41.62
100255,8,2024-11-25,Medium,2024-11-27,1,1,2024-11-28,36.32
100256,2,2024-08-22,Medium,2024-08-26,1,3,2024-08-29,91.91
100257,9,2024-08-22,High,2024-08-24,0,0,2024-08-24,44.68
100258,2,2024-09-04,Low,2024-09-06,0,0,2024-09-06,64.96
100259,4,2024-08-27,Medium,2024-08-30,0,0,2024-08-30,51.03
100260,10,2024-04-18,Medium,2024-04-19,0,0,2024-04-19,47.37
100261,4,2024-05-01,Medium,2024-05-05,0,0,2024-05-05,69.3
100262,4,2024-04-24,Low,2024-04-25,0,0,2024-04-25,38.54
100263,7,2024-07-30,Low,2024-08-03,1,4,2024-08-07,34.79
100264,8,2024-09-26,Low,2024-09-29,1,9,2024-10-08,69.47
100265,8,2024-08-31,Medium,2024-09-03,0,0,2024-09-03,25.66
100266,4,2024-09-08,High,2024-09-09,0,0,2024-09-09,58.77
100267,4,2024-08-19,Medium,2024-08-21,0,0,2024-08-21,28.88
100268,6,2024-05-13,Medium,2024-05-15,0,0,2024-05-15,70.8
100269,9,2024-05-26,Low,2024-05-30,1,4,2024-06-03,47.58
100270,5,2024-09-01,Low,2024-09-03,0,0,2024-09-03,13.26
100271,2,2024-04-16,Medium,2024-04-18,0,0,2024-04-18,6.1
100272,9,2024-09-18,Low,2024-09-22,0,0,2024-09-22,58.12
100273,12,2024-08-22,Critical,2024-08-23,0,0,2024-08-23,58.69
100274,9,2024-01-05,Medium,2024-01-06,0,0,2024-01-06,58.98
100275,11,2024-07-12,Low,2024-07-15,1,4,2024-07-19,35.94
100276,1,2024-02-17,Medium,2024-02-18,1,4,2024-02-22,22.08
100277,9,2024-07-16,Low,2024-07-19,1,8,2024-07-27,80.35
100278,7,2024-05-21,Medium,2024-05-24,0,0,2024-05-24,41.23
100279,1,2024-03-18,High,2024-03-19,1,8,2024-03-27,32.32
100280,2,2024-12-15,Low,2024-12-17,1,9,2024-12-26,92.07
100281,2,2024-10-27,Low,2024-10-30,0,0,2024-10-30,57.1
100282,8,2024-06-16,Low,2024-06-20,0,0,2024-06-20,13.43
100283,1,2024-08-03,High,2024-08-07,1,1,2024-08-08,32.21
100284,11,2024-06-06,High,2024-06-08,0,0,2024-06-08,53.49
100285,3,2024-03-15,Medium,2024-03-16,1,7,2024-03-23,66.26
100286,1,2024-03-18,Medium,2024-03-22,1,3,2024-03-25,31.32
100287,5,2024-02-17,Low,2024-02-19,0,0,2024-02-19,32.54
100288,4,2024-08-25,High,2024-08-29,1,6,2024-09-04,90.14
100289,3,2024-01-08,Low,2024-01-11,0,0,2024-01-11,33.24
100290,8,2024-06-25,Medium,2024-06-26,0,0,2024-06-26,9.77
100291,12,2024-05-14,Low,2024-05-15,1,3,2024-05-18,88.35
100292,7,2024-09-11,Medium,2024-09-12,1,8,2024-09-20,67.22
100293,4,2024-03-24,Medium,2024-03-26,0,0,2024-03-26,67.21
100294,1,2024-03-04,Low,2024-03-08,0,0,2024-03-08,66.11
100295,7,2024-05-12,Low,2024-05-14,1,4,2024-05-18,87.08
100296,3,2024-06-25,Low,2024-06-28,0,0,2024-06-28,11.52
100297,5,2024-07-16,Low,2024-07-20,0,0,2024-07-20,78.97
100298,12,2024-01-15,Low,2024-01-17,1,2,2024-01-19,53.69
100299,8,2024-02-28,High,2024-03-02,1,7,2024-03-09,57.23
100300,9,2024-03-30,Medium,2024-04-02,0,0,2024-04-02,11.68
100301,10,2024-04-18,Medium,2024-04-22,0,0,2024-04-22,41.11
100302,11,2024-01-21,Medium,2024-01-25,0,0,2024-01-25,47.65
100303,10,2024-12-06,High,2024-12-10,0,0,2024-12-10,8.7
100304,7,2024-01-09,High,2024-01-10,0,0,2024-01-10,17.27
100305,6,2024-12-29,Medium,2024-12-31,1,7,2025-01-07,80.27
100306,5,2024-02-25,High,2024-02-27,0,0,2024-02-27,10.65
100307,5,2024-07-20,Medium,2024-07-21,1,7,2024-07-28,44.13
100308,11,2024-11-13,Medium,2024-11-14,0,0,2024-11-14,34.94
100309,4,2024-12-10,Medium,2024-12-14,0,0,2024-12-14,21.47
100310,7,2024-03-25,Medium,2024-03-27,1,2,2024-03-29,28.55
100311,1,2024-08-13,Medium,2024-08-14,0,0,2024-08-14,25.65
100312,12,2024-06-07,Medium,2024-06-10,0,0,2024-06-10,23.93
100313,3,2024-07-12,Low,2024-07-13,0,0,2024-07-13,51.36
100314,6,2024-04-15,Low,2024-04-16,0,0,2024-04-16,47.45
100315,10,2024-12-25,High,2024-12-26,0,0,2024-12-26,50.27
100316,1,2024-05-23,Low,2024-05-24,0,0,2024-05-24,40.87
100317,7,2024-06-11,Medium,2024-06-15,1,9,2024-06-24,43.72
100318,2,2024-06-25,Medium,2024-06-26,0,0,2024-06-26,77.65
100319,7,2024-08-29,Low,2024-09-01,0,0,2024-09-01,13.94
100320,4,2024-06-07,Medium,2024-06-11,1,9,2024-06-20,133.42
100321,9,2024-03-16,Low,2024-03-19,0,0,2024-03-19,69.0
100322,5,2024-11-05,Medium,2024-11-06,0,0,2024-11-06,15.77
100323,1,2024-01-23,Medium,2024-01-25,0,0,2024-01-25,52.52
100324,12,2024-08-21,Low,2024-08-25,0,0,2024-08-25,52.15
100325,11,2024-04-11,Low,2024-04-12,0,0,2024-04-12,21.88
100326,4,2024-01-17,Low,2024-01-20,0,0,2024-01-20,5.64
100327,11,2024-12-29,High,2024-12-31,1,6,2025-01-06,55.85
100328,4,2024-01-14,Medium,2024-01-17,0,0,2024-01-17,24.09
100329,12,2024-04-06,High,2024-04-10,0,0,2024-04-10,75.64
100330,4,2024-06-24,Low,2024-06-28,0,0,2024-06-28,53.63
100331,12,2024-10-30,Medium,2024-10-31,0,0,2024-10-31,79.67
100332,3,2024-01-06,High,2024-01-10,0,0,2024-01-10,59.56
100333,3,2024-10-05,High,2024-10-06,0,0,2024-10-06,32.12
100334,10,2024-10-30,High,2024-10-31,1,8,2024-11-08,112.37
100335,5,2024-06-25,Low,2024-06-28,1,6,2024-07-04,109.7
100336,5,2024-11-12,Low,2024-11-15,0,0,2024-11-15,40.38
100337,11,2024-06-07,Low,2024-06-10,1,6,2024-06-16,42.82
100338,2,2024-05-12,High,2024-05-14,0,0,2024-05-14,74.57
100339,10,2024-11-18,Medium,2024-11-21,1,3,2024-11-24,58.07
100340,12,2024-06-14,Low,2024-06-17,0,0,2024-06-17,63.14
100341,10,2024-09-01,Low,2024-09-02,0,0,2024-09-02,46.85
100342,9,2024-01-31,Medium,2024-02-04,1,9,2024-02-13,58.2
100343,3,2024-07-04,Medium,2024-07-08,0,0,2024-07-08,25.55
100344,4,2024-06-30,High,2024-07-01,1,2,2024-07-03,35.98
100345,2,2024-01-17,Low,2024-01-19,0,0,2024-01-19,36.46
100346,8,2024-10-04,Low,2024-10-06,1,5,2024-10-11,86.51
100347,7,2024-07-10,Medium,2024-07-12,0,0,2024-07-12,26.97
100348,3,2024-09-25,High,2024-09-27,0,0,2024-09-27,47.76
100349,11,2024-08-28,Low,2024-08-29,1,8,2024-09-06,97.25
100350,11,2024-10-26,Low,2024-10-28,0,0,2024-10-28,43.52
100351,5,2024-06-23,Medium,2024-06-27,1,6,2024-07-03,92.17
100352,12,2024-01-06,Low,2024-01-07,1,6,2024-01-13,51.11
100353,1,2024-01-10,Medium,2024-01-14,0,0,2024-01-14,21.67
100354,12,2024-02-27,Critical,2024-03-01,0,0,2024-03-01,50.18
100355,6,2024-02-09,Low,2024-02-11,0,0,2024-02-11,29.13
100356,10,2024-01-14,Medium,2024-01-17,0,0,2024-01-17,51.26
100357,6,2024-05-30,Medium,2024-05-31,0,0,2024-05-31,79.09
100358,12,2024-11-22,High,2024-11-25,1,3,2024-11-28,78.08
100359,5,2024-08-03,Low,2024-08-06,1,6,2024-08-12,74.34
100360,9,2024-05-22,High,2024-05-26,0,0,2024-05-26,56.63
100361,4,2024-10-23,Medium,2024-10-24,0,0,2024-10-24,43.25
100362,2,2024-05-07,Low,2024-05-11,1,1,2024-05-12,10.54
100363,12,2024-11-03,Medium,2024-11-05,0,0,2024-11-05,54.28
100364,7,2024-09-22,Medium,2024-09-25,0,0,2024-09-25,8.62
100365,5,2024-12-08,Medium,2024-12-11,0,0,2024-12-11,66.7
100366,7,2024-08-28,High,2024-08-30,0,0,2024-08-30,46.01
100367,7,2024-06-03,Medium,2024-06-05,0,0,2024-06-05,55.32
100368,7,2024-02-20,Medium,2024-02-21,0,0,2024-02-21,46.91
100369,3,2024-12-28,Low,2024-12-30,0,0,2024-12-30,17.42
100370,5,2024-04-19,Medium,2024-04-21,0,0,2024-04-21,60.1
100371,1,2024-02-29,Low,2024-03-02,0,0,2024-03-02,41.07
100372,6,2024-08-10,High,2024-08-11,0,0,2024-08-11,73.7
